"","field_id","year","month","centroid_lat","centroid_long","area_hectares","sprays","mildew_incidence","initial_strain","susceptibility_to_r6_strains","susceptibility_to_non_r6_strains","plant_type","date"
"257",69,2014,"April",45.0348,-122.7418,7.1224736,0,0,"V6",1,1,"non-R6",2014-04-01
"258",69,2014,"May",45.0348,-122.7418,7.1224736,1,0,"V6",1,1,"non-R6",2014-05-01
"259",69,2014,"June",45.0348,-122.7418,7.1224736,2,0,"V6",1,1,"non-R6",2014-06-01
"260",69,2014,"July",45.0348,-122.7418,7.1224736,2,0.02,"V6",1,1,"non-R6",2014-07-01
"261",71,2014,"April",45.0318,-122.7581,16.3493144,0,0,"non-V6",1,1,"non-R6",2014-04-01
"262",71,2014,"May",45.0318,-122.7581,16.3493144,0,0,"non-V6",1,1,"non-R6",2014-05-01
"263",71,2014,"June",45.0318,-122.7581,16.3493144,3,0.01,"non-V6",1,1,"non-R6",2014-06-01
"264",71,2014,"July",45.0318,-122.7581,16.3493144,2,0.02,"non-V6",1,1,"non-R6",2014-07-01
"265",72,2014,"April",45.0315,-122.7704,6.3131016,0,0,"non-V6",1,1,"non-R6",2014-04-01
"266",72,2014,"May",45.0315,-122.7704,6.3131016,0,0,"non-V6",1,1,"non-R6",2014-05-01
"267",72,2014,"June",45.0315,-122.7704,6.3131016,2,0.05,"non-V6",1,1,"non-R6",2014-06-01
"268",72,2014,"July",45.0315,-122.7704,6.3131016,2,0.041237113,"non-V6",1,1,"non-R6",2014-07-01
"269",73,2014,"April",45.0336,-122.7675,9.2673094,0,0,"non-V6",1,1,"non-R6",2014-04-01
"270",73,2014,"May",45.0336,-122.7675,9.2673094,1,0,"non-V6",1,1,"non-R6",2014-05-01
"271",73,2014,"June",45.0336,-122.7675,9.2673094,2,0.01,"non-V6",1,1,"non-R6",2014-06-01
"272",73,2014,"July",45.0336,-122.7675,9.2673094,2,0,"non-V6",1,1,"non-R6",2014-07-01
"273",74,2014,"April",45.0329,-122.7636,10.1980872,0,0,"non-V6",1,1,"non-R6",2014-04-01
"274",74,2014,"May",45.0329,-122.7636,10.1980872,0,0,"non-V6",1,1,"non-R6",2014-05-01
"275",74,2014,"June",45.0329,-122.7636,10.1980872,1,0,"non-V6",1,1,"non-R6",2014-06-01
"276",74,2014,"July",45.0329,-122.7636,10.1980872,1,0.01,"non-V6",1,1,"non-R6",2014-07-01
"277",75,2014,"April",45.0334,-122.7654,2.832802,0,0,"non-V6",1,1,"non-R6",2014-04-01
"278",75,2014,"May",45.0334,-122.7654,2.832802,1,0,"non-V6",1,1,"non-R6",2014-05-01
"279",75,2014,"June",45.0334,-122.7654,2.832802,1,0.04,"non-V6",1,1,"non-R6",2014-06-01
"280",75,2014,"July",45.0334,-122.7654,2.832802,2,0.03,"non-V6",1,1,"non-R6",2014-07-01
"281",76,2014,"April",45.0347,-122.7603,1.4568696,0,0,"non-V6",1,1,"non-R6",2014-04-01
"282",76,2014,"May",45.0347,-122.7603,1.4568696,1,0,"non-V6",1,1,"non-R6",2014-05-01
"283",76,2014,"June",45.0347,-122.7603,1.4568696,3,0,"non-V6",1,1,"non-R6",2014-06-01
"284",76,2014,"July",45.0347,-122.7603,1.4568696,2,0.01,"non-V6",1,1,"non-R6",2014-07-01
"285",77,2014,"April",45.0293,-122.7503,6.2321644,0,0,"non-V6",1,1,"non-R6",2014-04-01
"286",77,2014,"May",45.0293,-122.7503,6.2321644,0,0,"non-V6",1,1,"non-R6",2014-05-01
"287",77,2014,"June",45.0293,-122.7503,6.2321644,1,0,"non-V6",1,1,"non-R6",2014-06-01
"288",77,2014,"July",45.0293,-122.7503,6.2321644,3,0,"non-V6",1,1,"non-R6",2014-07-01
"289",78,2014,"April",45.0298,-122.7519,5.463261,0,0,"V6",1,1,"non-R6",2014-04-01
"290",78,2014,"May",45.0298,-122.7519,5.463261,1,0,"V6",1,1,"non-R6",2014-05-01
"291",78,2014,"June",45.0298,-122.7519,5.463261,1,0.02,"V6",1,1,"non-R6",2014-06-01
"292",78,2014,"July",45.0298,-122.7519,5.463261,2,0.05,"V6",1,1,"non-R6",2014-07-01
"293",79,2014,"April",45.0295,-122.7542,12.0596428,0,0,"V6",1,1,"non-R6",2014-04-01
"294",79,2014,"May",45.0295,-122.7542,12.0596428,1,0,"V6",1,1,"non-R6",2014-05-01
"295",79,2014,"June",45.0295,-122.7542,12.0596428,2,0,"V6",1,1,"non-R6",2014-06-01
"296",79,2014,"July",45.0295,-122.7542,12.0596428,2,0.05,"V6",1,1,"non-R6",2014-07-01
"297",81,2014,"April",45.0254,-122.7648,6.07029,0,0,"non-V6",1,1,"non-R6",2014-04-01
"298",81,2014,"May",45.0254,-122.7648,6.07029,0,0,"non-V6",1,1,"non-R6",2014-05-01
"299",81,2014,"June",45.0254,-122.7648,6.07029,3,0.03,"non-V6",1,1,"non-R6",2014-06-01
"300",81,2014,"July",45.0254,-122.7648,6.07029,2,0.02,"non-V6",1,1,"non-R6",2014-07-01
"301",82,2014,"April",45.0258,-122.7621,8.903092,0,0,"non-V6",1,1,"non-R6",2014-04-01
"302",82,2014,"May",45.0258,-122.7621,8.903092,0,0,"non-V6",1,1,"non-R6",2014-05-01
"303",82,2014,"June",45.0258,-122.7621,8.903092,1,0,"non-V6",1,1,"non-R6",2014-06-01
"304",82,2014,"July",45.0258,-122.7621,8.903092,1,0.04,"non-V6",1,1,"non-R6",2014-07-01
"305",83,2014,"April",45.0258,-122.7599,4.2896716,0,0,"non-V6",1,1,"non-R6",2014-04-01
"306",83,2014,"May",45.0258,-122.7599,4.2896716,0,0,"non-V6",1,1,"non-R6",2014-05-01
"307",83,2014,"June",45.0258,-122.7599,4.2896716,2,0.05,"non-V6",1,1,"non-R6",2014-06-01
"308",83,2014,"July",45.0258,-122.7599,4.2896716,3,0.06,"non-V6",1,1,"non-R6",2014-07-01
"309",84,2014,"April",45.0258,-122.7569,14.1235414,0,0,"V6",1,0,"R6",2014-04-01
"310",84,2014,"May",45.0258,-122.7569,14.1235414,0,0,"V6",1,0,"R6",2014-05-01
"311",84,2014,"June",45.0258,-122.7569,14.1235414,3,0.03,"V6",1,0,"R6",2014-06-01
"312",84,2014,"July",45.0258,-122.7569,14.1235414,3,0,"V6",1,0,"R6",2014-07-01
"313",86,2014,"April",45.0222,-122.7646,9.0244978,0,0,"non-V6",1,1,"non-R6",2014-04-01
"314",86,2014,"May",45.0222,-122.7646,9.0244978,1,0,"non-V6",1,1,"non-R6",2014-05-01
"315",86,2014,"June",45.0222,-122.7646,9.0244978,1,0.01,"non-V6",1,1,"non-R6",2014-06-01
"316",86,2014,"July",45.0222,-122.7646,9.0244978,2,0.03,"non-V6",1,1,"non-R6",2014-07-01
"317",87,2014,"April",45.0213,-122.7666,0.607029,0,0,"V6",1,1,"non-R6",2014-04-01
"318",87,2014,"May",45.0213,-122.7666,0.607029,0,0,"V6",1,1,"non-R6",2014-05-01
"319",87,2014,"June",45.0213,-122.7666,0.607029,2,0.01,"V6",1,1,"non-R6",2014-06-01
"320",87,2014,"July",45.0213,-122.7666,0.607029,1,0,"V6",1,1,"non-R6",2014-07-01
"321",88,2014,"April",45.0279,-122.7664,12.6666718,0,0,"non-V6",1,1,"non-R6",2014-04-01
"322",88,2014,"May",45.0279,-122.7664,12.6666718,0,0.04,"non-V6",1,1,"non-R6",2014-05-01
"323",88,2014,"June",45.0279,-122.7664,12.6666718,2,0.13,"non-V6",1,1,"non-R6",2014-06-01
"324",88,2014,"July",45.0279,-122.7664,12.6666718,2,0.16,"non-V6",1,1,"non-R6",2014-07-01
"325",89,2014,"April",45.0289,-122.7684,10.319493,0,0,"non-V6",1,1,"non-R6",2014-04-01
"326",89,2014,"May",45.0289,-122.7684,10.319493,0,0,"non-V6",1,1,"non-R6",2014-05-01
"327",89,2014,"June",45.0289,-122.7684,10.319493,2,0,"non-V6",1,1,"non-R6",2014-06-01
"328",89,2014,"July",45.0289,-122.7684,10.319493,1,0.01,"non-V6",1,1,"non-R6",2014-07-01
"329",90,2014,"April",45.0293,-122.7696,2.7923334,0,0,"non-V6",1,1,"non-R6",2014-04-01
"330",90,2014,"May",45.0293,-122.7696,2.7923334,0,0,"non-V6",1,1,"non-R6",2014-05-01
"331",90,2014,"June",45.0293,-122.7696,2.7923334,2,0,"non-V6",1,1,"non-R6",2014-06-01
"332",90,2014,"July",45.0293,-122.7696,2.7923334,2,0,"non-V6",1,1,"non-R6",2014-07-01
"333",91,2014,"April",45.0345,-122.8018,14.8924448,0,0,"non-V6",1,1,"non-R6",2014-04-01
"334",91,2014,"May",45.0345,-122.8018,14.8924448,0,0,"non-V6",1,1,"non-R6",2014-05-01
"335",91,2014,"June",45.0345,-122.8018,14.8924448,2,0,"non-V6",1,1,"non-R6",2014-06-01
"336",91,2014,"July",45.0345,-122.8018,14.8924448,2,0.02,"non-V6",1,1,"non-R6",2014-07-01
"337",92,2014,"April",45.0394,-122.8026,8.7412176,0,0,"non-V6",1,1,"non-R6",2014-04-01
"338",92,2014,"May",45.0394,-122.8026,8.7412176,0,0,"non-V6",1,1,"non-R6",2014-05-01
"339",92,2014,"June",45.0394,-122.8026,8.7412176,2,0,"non-V6",1,1,"non-R6",2014-06-01
"340",92,2014,"July",45.0394,-122.8026,8.7412176,2,0,"non-V6",1,1,"non-R6",2014-07-01
"341",95,2014,"April",45.1906,-122.7753,6.0298214,0,0,"V6",1,0,"R6",2014-04-01
"342",95,2014,"May",45.1906,-122.7753,6.0298214,1,0,"V6",1,0,"R6",2014-05-01
"343",95,2014,"June",45.1906,-122.7753,6.0298214,3,0.28,"V6",1,0,"R6",2014-06-01
"344",95,2014,"July",45.1906,-122.7753,6.0298214,0,0.05,"V6",1,0,"R6",2014-07-01
"345",96,2014,"April",45.193,-122.7746,6.3131016,0,0,"V6",1,0,"R6",2014-04-01
"346",96,2014,"May",45.193,-122.7746,6.3131016,1,0,"V6",1,0,"R6",2014-05-01
"347",96,2014,"June",45.193,-122.7746,6.3131016,2,1,"V6",1,0,"R6",2014-06-01
"348",96,2014,"July",45.193,-122.7746,6.3131016,0,0.3,"V6",1,0,"R6",2014-07-01
"349",97,2014,"April",45.1964,-122.7797,6.272633,0,0,"non-V6",1,1,"non-R6",2014-04-01
"350",97,2014,"May",45.1964,-122.7797,6.272633,1,0,"non-V6",1,1,"non-R6",2014-05-01
"351",97,2014,"June",45.1964,-122.7797,6.272633,3,0,"non-V6",1,1,"non-R6",2014-06-01
"352",97,2014,"July",45.1964,-122.7797,6.272633,0,0,"non-V6",1,1,"non-R6",2014-07-01
"353",98,2014,"April",45.1931,-122.7852,10.6837104,0,0,"V6",1,1,"non-R6",2014-04-01
"354",98,2014,"May",45.1931,-122.7852,10.6837104,1,0.01,"V6",1,1,"non-R6",2014-05-01
"355",98,2014,"June",45.1931,-122.7852,10.6837104,3,0.02,"V6",1,1,"non-R6",2014-06-01
"356",98,2014,"July",45.1931,-122.7852,10.6837104,1,0.06,"V6",1,1,"non-R6",2014-07-01
"357",99,2014,"April",45.1898,-122.7861,8.3770002,0,0,"V6",1,1,"non-R6",2014-04-01
"358",99,2014,"May",45.1898,-122.7861,8.3770002,1,0,"V6",1,1,"non-R6",2014-05-01
"359",99,2014,"June",45.1898,-122.7861,8.3770002,3,0.01,"V6",1,1,"non-R6",2014-06-01
"360",99,2014,"July",45.1898,-122.7861,8.3770002,0,0.06,"V6",1,1,"non-R6",2014-07-01
"361",100,2014,"April",45.1962,-122.7851,9.9552756,0,0,"V6",1,0,"R6",2014-04-01
"362",100,2014,"May",45.1962,-122.7851,9.9552756,1,0,"V6",1,0,"R6",2014-05-01
"363",100,2014,"June",45.1962,-122.7851,9.9552756,3,0.4,"V6",1,0,"R6",2014-06-01
"364",100,2014,"July",45.1962,-122.7851,9.9552756,2,0.12,"V6",1,0,"R6",2014-07-01
"365",101,2014,"April",45.1864,-122.786,9.2673094,0,0,"V6",1,0,"R6",2014-04-01
"366",101,2014,"May",45.1864,-122.786,9.2673094,1,0,"V6",1,0,"R6",2014-05-01
"367",101,2014,"June",45.1864,-122.786,9.2673094,3,0.75,"V6",1,0,"R6",2014-06-01
"368",101,2014,"July",45.1864,-122.786,9.2673094,2,0.36,"V6",1,0,"R6",2014-07-01
"369",102,2014,"April",45.1863,-122.7811,18.8583676,0,0,"V6",1,0,"R6",2014-04-01
"370",102,2014,"May",45.1863,-122.7811,18.8583676,1,0,"V6",1,0,"R6",2014-05-01
"371",102,2014,"June",45.1863,-122.7811,18.8583676,3,0.49,"V6",1,0,"R6",2014-06-01
"372",102,2014,"July",45.1863,-122.7811,18.8583676,2,0.48,"V6",1,0,"R6",2014-07-01
"373",103,2014,"April",45.1905,-122.7928,4.8157634,0,0,"V6",1,1,"non-R6",2014-04-01
"374",103,2014,"May",45.1905,-122.7928,4.8157634,1,0,"V6",1,1,"non-R6",2014-05-01
"375",103,2014,"June",45.1905,-122.7928,4.8157634,3,0.01,"V6",1,1,"non-R6",2014-06-01
"376",103,2014,"July",45.1905,-122.7928,4.8157634,2,0,"V6",1,1,"non-R6",2014-07-01
"377",104,2014,"April",45.1897,-122.7802,14.6091646,0,0,"V6",1,0,"R6",2014-04-01
"378",104,2014,"May",45.1897,-122.7802,14.6091646,1,0,"V6",1,0,"R6",2014-05-01
"379",104,2014,"June",45.1897,-122.7802,14.6091646,3,0.89,"V6",1,0,"R6",2014-06-01
"380",104,2014,"July",45.1897,-122.7802,14.6091646,2,0.22,"V6",1,0,"R6",2014-07-01
"381",105,2014,"April",45.1986,-122.78,14.0426042,0,0,"V6",1,1,"non-R6",2014-04-01
"382",105,2014,"May",45.1986,-122.78,14.0426042,0,0.01,"V6",1,1,"non-R6",2014-05-01
"383",105,2014,"June",45.1986,-122.78,14.0426042,3,0.09,"V6",1,1,"non-R6",2014-06-01
"384",105,2014,"July",45.1986,-122.78,14.0426042,2,0.1,"V6",1,1,"non-R6",2014-07-01
"385",106,2014,"April",45.1879,-122.791,5.9084156,0,0,"V6",1,0,"R6",2014-04-01
"386",106,2014,"May",45.1879,-122.791,5.9084156,1,0.03,"V6",1,0,"R6",2014-05-01
"387",106,2014,"June",45.1879,-122.791,5.9084156,3,0.3,"V6",1,0,"R6",2014-06-01
"388",106,2014,"July",45.1879,-122.791,5.9084156,0,0.44,"V6",1,0,"R6",2014-07-01
"389",107,2014,"April",45.1888,-122.791,4.249203,0,0.01,"V6",1,1,"non-R6",2014-04-01
"390",107,2014,"May",45.1888,-122.791,4.249203,1,0,"V6",1,1,"non-R6",2014-05-01
"391",107,2014,"June",45.1888,-122.791,4.249203,3,0.08,"V6",1,1,"non-R6",2014-06-01
"392",107,2014,"July",45.1888,-122.791,4.249203,2,0.07,"V6",1,1,"non-R6",2014-07-01
"393",108,2014,"April",45.1865,-122.7907,8.296063,0,0.08,"V6",1,0,"R6",2014-04-01
"394",108,2014,"May",45.1865,-122.7907,8.296063,1,0.2,"V6",1,0,"R6",2014-05-01
"395",108,2014,"June",45.1865,-122.7907,8.296063,4,1,"V6",1,0,"R6",2014-06-01
"396",108,2014,"July",45.1865,-122.7907,8.296063,3,0.89,"V6",1,0,"R6",2014-07-01
"397",1,2015,"April",45.0405,-122.7772,0.6879662,0,0,"non-V6",1,1,"non-R6",2015-04-01
"398",1,2015,"May",45.0405,-122.7772,0.6879662,0,0,"non-V6",1,1,"non-R6",2015-05-01
"399",1,2015,"June",45.0405,-122.7772,0.6879662,2,0,"non-V6",1,1,"non-R6",2015-06-01
"400",1,2015,"July",45.0405,-122.7772,0.6879662,1,0,"non-V6",1,1,"non-R6",2015-07-01
"401",2,2015,"April",45.0411,-122.7766,0.8903092,0,0,"non-V6",1,1,"non-R6",2015-04-01
"402",2,2015,"May",45.0411,-122.7766,0.8903092,0,0,"non-V6",1,1,"non-R6",2015-05-01
"403",2,2015,"June",45.0411,-122.7766,0.8903092,2,0,"non-V6",1,1,"non-R6",2015-06-01
"404",2,2015,"July",45.0411,-122.7766,0.8903092,1,0,"non-V6",1,1,"non-R6",2015-07-01
"405",3,2015,"April",45.0405,-122.7778,2.3876474,0,0,"non-V6",1,1,"non-R6",2015-04-01
"406",3,2015,"May",45.0405,-122.7778,2.3876474,0,0,"non-V6",1,1,"non-R6",2015-05-01
"407",3,2015,"June",45.0405,-122.7778,2.3876474,2,0,"non-V6",1,1,"non-R6",2015-06-01
"408",3,2015,"July",45.0405,-122.7778,2.3876474,1,0,"non-V6",1,1,"non-R6",2015-07-01
"409",4,2015,"April",45.0377,-122.7779,1.2545266,0,0,"non-V6",1,1,"non-R6",2015-04-01
"410",4,2015,"May",45.0377,-122.7779,1.2545266,0,0,"non-V6",1,1,"non-R6",2015-05-01
"411",4,2015,"June",45.0377,-122.7779,1.2545266,2,0,"non-V6",1,1,"non-R6",2015-06-01
"412",4,2015,"July",45.0377,-122.7779,1.2545266,1,0,"non-V6",1,1,"non-R6",2015-07-01
"413",5,2015,"April",45.0412,-122.7753,2.9542078,0,0,"V6",1,1,"non-R6",2015-04-01
"414",5,2015,"May",45.0412,-122.7753,2.9542078,0,0,"V6",1,1,"non-R6",2015-05-01
"415",5,2015,"June",45.0412,-122.7753,2.9542078,2,0.01,"V6",1,1,"non-R6",2015-06-01
"416",5,2015,"July",45.0412,-122.7753,2.9542078,1,0,"V6",1,1,"non-R6",2015-07-01
"417",6,2015,"April",45.0403,-122.7818,7.7699712,0,0,"non-V6",1,1,"non-R6",2015-04-01
"418",6,2015,"May",45.0403,-122.7818,7.7699712,0,0,"non-V6",1,1,"non-R6",2015-05-01
"419",6,2015,"June",45.0403,-122.7818,7.7699712,2,0,"non-V6",1,1,"non-R6",2015-06-01
"420",6,2015,"July",45.0403,-122.7818,7.7699712,1,0,"non-V6",1,1,"non-R6",2015-07-01
"421",7,2015,"April",45.0377,-122.7771,2.0638986,0,0,"non-V6",1,1,"non-R6",2015-04-01
"422",7,2015,"May",45.0377,-122.7771,2.0638986,0,0,"non-V6",1,1,"non-R6",2015-05-01
"423",7,2015,"June",45.0377,-122.7771,2.0638986,2,0,"non-V6",1,1,"non-R6",2015-06-01
"424",7,2015,"July",45.0377,-122.7771,2.0638986,1,0,"non-V6",1,1,"non-R6",2015-07-01
"425",8,2015,"April",45.0775,-122.7656,7.0010678,0,0,"non-V6",1,1,"non-R6",2015-04-01
"426",8,2015,"May",45.0775,-122.7656,7.0010678,0,0.005,"non-V6",1,1,"non-R6",2015-05-01
"427",8,2015,"June",45.0775,-122.7656,7.0010678,2,0.24,"non-V6",1,1,"non-R6",2015-06-01
"428",8,2015,"July",45.0775,-122.7656,7.0010678,1,0.03,"non-V6",1,1,"non-R6",2015-07-01
"429",9,2015,"April",45.0839,-122.7614,3.844517,0,0,"non-V6",1,1,"non-R6",2015-04-01
"430",9,2015,"May",45.0839,-122.7614,3.844517,0,0.01,"non-V6",1,1,"non-R6",2015-05-01
"431",9,2015,"June",45.0839,-122.7614,3.844517,2,0.6,"non-V6",1,1,"non-R6",2015-06-01
"432",9,2015,"July",45.0839,-122.7614,3.844517,1,0,"non-V6",1,1,"non-R6",2015-07-01
"433",10,2015,"April",45.079,-122.7666,2.02343,0,0,"non-V6",1,1,"non-R6",2015-04-01
"434",10,2015,"May",45.079,-122.7666,2.02343,0,0,"non-V6",1,1,"non-R6",2015-05-01
"435",10,2015,"June",45.079,-122.7666,2.02343,2,0.08,"non-V6",1,1,"non-R6",2015-06-01
"436",10,2015,"July",45.079,-122.7666,2.02343,1,0.08,"non-V6",1,1,"non-R6",2015-07-01
"437",11,2015,"April",45.0842,-122.7656,3.8849856,0,0.005,"non-V6",1,1,"non-R6",2015-04-01
"438",11,2015,"May",45.0842,-122.7656,3.8849856,0,0,"non-V6",1,1,"non-R6",2015-05-01
"439",11,2015,"June",45.0842,-122.7656,3.8849856,2,0.15,"non-V6",1,1,"non-R6",2015-06-01
"440",11,2015,"July",45.0842,-122.7656,3.8849856,1,0,"non-V6",1,1,"non-R6",2015-07-01
"441",12,2015,"April",45.0839,-122.763,5.260918,0,0,"V6",1,1,"non-R6",2015-04-01
"442",12,2015,"May",45.0839,-122.763,5.260918,0,0,"V6",1,1,"non-R6",2015-05-01
"443",12,2015,"June",45.0839,-122.763,5.260918,2,0.03,"V6",1,1,"non-R6",2015-06-01
"444",12,2015,"July",45.0839,-122.763,5.260918,1,0,"V6",1,1,"non-R6",2015-07-01
"445",13,2015,"April",45.0805,-122.7666,11.0074592,0,0,"V6",1,1,"non-R6",2015-04-01
"446",13,2015,"May",45.0805,-122.7666,11.0074592,0,0,"V6",1,1,"non-R6",2015-05-01
"447",13,2015,"June",45.0805,-122.7666,11.0074592,2,0.35,"V6",1,1,"non-R6",2015-06-01
"448",13,2015,"July",45.0805,-122.7666,11.0074592,1,0.09,"V6",1,1,"non-R6",2015-07-01
"449",14,2015,"April",45.0405,-122.7794,5.867947,0,0,"non-V6",1,1,"non-R6",2015-04-01
"450",14,2015,"May",45.0405,-122.7794,5.867947,0,0,"non-V6",1,1,"non-R6",2015-05-01
"451",14,2015,"June",45.0405,-122.7794,5.867947,2,0,"non-V6",1,1,"non-R6",2015-06-01
"452",14,2015,"July",45.0405,-122.7794,5.867947,1,0,"non-V6",1,1,"non-R6",2015-07-01
"453",15,2015,"April",45.0375,-122.7815,6.1916958,0,0,"non-V6",1,1,"non-R6",2015-04-01
"454",15,2015,"May",45.0375,-122.7815,6.1916958,0,0,"non-V6",1,1,"non-R6",2015-05-01
"455",15,2015,"June",45.0375,-122.7815,6.1916958,2,0,"non-V6",1,1,"non-R6",2015-06-01
"456",15,2015,"July",45.0375,-122.7815,6.1916958,1,0,"non-V6",1,1,"non-R6",2015-07-01
"457",16,2015,"April",45.0799,-122.7262,7.8509084,0,0,"non-V6",1,1,"non-R6",2015-04-01
"458",16,2015,"May",45.0799,-122.7262,7.8509084,0,0,"non-V6",1,1,"non-R6",2015-05-01
"459",16,2015,"June",45.0799,-122.7262,7.8509084,2,0,"non-V6",1,1,"non-R6",2015-06-01
"460",16,2015,"July",45.0799,-122.7262,7.8509084,1,0,"non-V6",1,1,"non-R6",2015-07-01
"461",17,2015,"April",45.0826,-122.7274,6.9201306,0,0,"non-V6",1,1,"non-R6",2015-04-01
"462",17,2015,"May",45.0826,-122.7274,6.9201306,0,0,"non-V6",1,1,"non-R6",2015-05-01
"463",17,2015,"June",45.0826,-122.7274,6.9201306,2,0,"non-V6",1,1,"non-R6",2015-06-01
"464",17,2015,"July",45.0826,-122.7274,6.9201306,1,0,"non-V6",1,1,"non-R6",2015-07-01
"465",18,2015,"April",45.0799,-122.7239,3.8849856,0,0,"non-V6",1,1,"non-R6",2015-04-01
"466",18,2015,"May",45.0799,-122.7239,3.8849856,0,0,"non-V6",1,1,"non-R6",2015-05-01
"467",18,2015,"June",45.0799,-122.7239,3.8849856,2,0,"non-V6",1,1,"non-R6",2015-06-01
"468",18,2015,"July",45.0799,-122.7239,3.8849856,1,0,"non-V6",1,1,"non-R6",2015-07-01
"469",19,2015,"April",45.0412,-122.7729,3.7231112,0,0,"non-V6",1,1,"non-R6",2015-04-01
"470",19,2015,"May",45.0412,-122.7729,3.7231112,0,0,"non-V6",1,1,"non-R6",2015-05-01
"471",19,2015,"June",45.0412,-122.7729,3.7231112,2,0,"non-V6",1,1,"non-R6",2015-06-01
"472",19,2015,"July",45.0412,-122.7729,3.7231112,1,0,"non-V6",1,1,"non-R6",2015-07-01
"473",20,2015,"April",45.0376,-122.779,3.1160822,0,0,"non-V6",1,1,"non-R6",2015-04-01
"474",20,2015,"May",45.0376,-122.779,3.1160822,0,0,"non-V6",1,1,"non-R6",2015-05-01
"475",20,2015,"June",45.0376,-122.779,3.1160822,2,0,"non-V6",1,1,"non-R6",2015-06-01
"476",20,2015,"July",45.0376,-122.779,3.1160822,1,0,"non-V6",1,1,"non-R6",2015-07-01
"477",22,2015,"April",45.088,-122.742,10.4408988,0,0,"V6",1,1,"non-R6",2015-04-01
"478",22,2015,"May",45.088,-122.742,10.4408988,1,0,"V6",1,1,"non-R6",2015-05-01
"479",22,2015,"June",45.088,-122.742,10.4408988,2,0.03,"V6",1,1,"non-R6",2015-06-01
"480",22,2015,"July",45.088,-122.742,10.4408988,1,0.8,"V6",1,1,"non-R6",2015-07-01
"481",23,2015,"April",45.0833,-122.7513,18.008527,0,0,"V6",1,0,"R6",2015-04-01
"482",23,2015,"May",45.0833,-122.7513,18.008527,2,0,"V6",1,0,"R6",2015-05-01
"483",23,2015,"June",45.0833,-122.7513,18.008527,1,0.03,"V6",1,0,"R6",2015-06-01
"484",23,2015,"July",45.0833,-122.7513,18.008527,1,0.11,"V6",1,0,"R6",2015-07-01
"485",24,2015,"April",45.0772,-122.7606,12.949952,0,0,"V6",1,0,"R6",2015-04-01
"486",24,2015,"May",45.0772,-122.7606,12.949952,1,0,"V6",1,0,"R6",2015-05-01
"487",24,2015,"June",45.0772,-122.7606,12.949952,1,0,"V6",1,0,"R6",2015-06-01
"488",24,2015,"July",45.0772,-122.7606,12.949952,1,0.01,"V6",1,0,"R6",2015-07-01
"489",25,2015,"April",45.0771,-122.7557,8.0127828,0,0,"V6",1,0,"R6",2015-04-01
"490",25,2015,"May",45.0771,-122.7557,8.0127828,1,0,"V6",1,0,"R6",2015-05-01
"491",25,2015,"June",45.0771,-122.7557,8.0127828,1,0.02,"V6",1,0,"R6",2015-06-01
"492",25,2015,"July",45.0771,-122.7557,8.0127828,1,0,"V6",1,0,"R6",2015-07-01
"493",26,2015,"April",45.08,-122.7407,12.7880776,0,0,"non-V6",1,1,"non-R6",2015-04-01
"494",26,2015,"May",45.08,-122.7407,12.7880776,2,0,"non-V6",1,1,"non-R6",2015-05-01
"495",26,2015,"June",45.08,-122.7407,12.7880776,0,0,"non-V6",1,1,"non-R6",2015-06-01
"496",26,2015,"July",45.08,-122.7407,12.7880776,1,0,"non-V6",1,1,"non-R6",2015-07-01
"497",27,2015,"April",45.0925,-122.7523,15.0947878,0,0,"V6",1,1,"non-R6",2015-04-01
"498",27,2015,"May",45.0925,-122.7523,15.0947878,2,0,"V6",1,1,"non-R6",2015-05-01
"499",27,2015,"June",45.0925,-122.7523,15.0947878,0,0.33,"V6",1,1,"non-R6",2015-06-01
"500",27,2015,"July",45.0925,-122.7523,15.0947878,1,0.02,"V6",1,1,"non-R6",2015-07-01
"501",28,2015,"April",45.0936,-122.7569,9.1459036,0,0.005,"V6",1,0,"R6",2015-04-01
"502",28,2015,"May",45.0936,-122.7569,9.1459036,0,0,"V6",1,0,"R6",2015-05-01
"503",28,2015,"June",45.0936,-122.7569,9.1459036,2,0.37,"V6",1,0,"R6",2015-06-01
"504",28,2015,"July",45.0936,-122.7569,9.1459036,1,1,"V6",1,0,"R6",2015-07-01
"505",29,2015,"April",45.0926,-122.7473,21.3269522,0,0,"V6",1,0,"R6",2015-04-01
"506",29,2015,"May",45.0926,-122.7473,21.3269522,2,0,"V6",1,0,"R6",2015-05-01
"507",29,2015,"June",45.0926,-122.7473,21.3269522,1,0.98,"V6",1,0,"R6",2015-06-01
"508",29,2015,"July",45.0926,-122.7473,21.3269522,2,0.59,"V6",1,0,"R6",2015-07-01
"509",30,2015,"April",45.0891,-122.7526,4.1682658,0,0,"V6",1,1,"non-R6",2015-04-01
"510",30,2015,"May",45.0891,-122.7526,4.1682658,2,0,"V6",1,1,"non-R6",2015-05-01
"511",30,2015,"June",45.0891,-122.7526,4.1682658,1,0.3,"V6",1,1,"non-R6",2015-06-01
"512",30,2015,"July",45.0891,-122.7526,4.1682658,1,0.9,"V6",1,1,"non-R6",2015-07-01
"513",31,2015,"April",45.0891,-122.7476,14.8115076,0,0,"V6",1,1,"non-R6",2015-04-01
"514",31,2015,"May",45.0891,-122.7476,14.8115076,2,0,"V6",1,1,"non-R6",2015-05-01
